intent,mensaje,enlaces,frases
plan_emergencia,"¿Hay algún plan específico para zonas rurales de Puno?",["https://www.indeci.gob.pe/planes/puno-rural";"https://www.gob.pe/indeci"],["plan rural de emergencia";"prevención en Puno";"comunidades altoandinas"]
reportar_evento,"El río Chillón se está desbordando. ¿Dónde reporto?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/zonas-chillon"],["desborde del río Chillón";"emergencia hídrica";"reporte urgente"]
refugios_cercanos,"¿Qué refugios hay disponibles cerca del distrito de Chosica?",["https://www.indeci.gob.pe/refugios/chosica";"https://www.defensacivil.gob.pe/zonas-seguras"],["refugios en Chosica";"zona segura";"albergue por huaicos"]
saludo,"Hola, soy de Arequipa y quiero saber si hay alertas.",[],[]
despedida,"Eso era todo por ahora, gracias por la información para Tacna.",[],[]
ayuda,"¿Dónde reviso los puntos de evacuación si estoy en Tumbes?",["https://www.gob.pe/indeci/evacuacion-tumbes";"https://www.defensacivil.gob.pe/zonas-seguras-tumbes"],["zonas seguras en Tumbes";"evacuación costera";"puntos oficiales"]
obtener_pronostico,"¿Hará calor en Piura durante el fin de semana?",["https://www.senamhi.gob.pe/ciudad/piura"],["temperatura en Piura";"clima del fin de semana";"pronóstico norte"]
obtener_pronostico,"¿Va a haber neblina en la carretera entre Cajamarca y Chiclayo?",["https://www.senamhi.gob.pe/avisos-viales";"https://www.mtc.gob.pe/alertas"],["neblina en carretera";"condiciones viales";"tramo Cajamarca-Chiclayo"]
plan_emergencia,"¿Qué hago si hay un incendio forestal cerca de Satipo?",["https://www.indeci.gob.pe/incendios-selva";"https://www.gob.pe/119"],["incendio en Satipo";"protocolos de evacuación";"alerta forestal"]
explicar_tipo_desastre,"¿Qué es un sismo volcánico y cómo puede afectar a Moquegua?",["https://www.gob.pe/igp/moquegua";"https://www.gob.pe/indeci"],["sismo volcánico";"actividad sísmica en Moquegua";"prevención geológica"]
intencion_desconocida,"Si llueve en Lima, ¿el cielo de Arequipa también se moja?",[],[]
lenguaje_inapropiado,"Ustedes son un desastre, igual que el clima de esta m***",["https://www.gob.pe/minedu/manual-convivencia"],["lenguaje agresivo";"crítica destructiva";"uso inadecuado"]
recomendar_medidas,"Estoy en el mercado de Huancayo y comenzó a llover fuerte. ¿Qué hago?",["https://www.indeci.gob.pe/emergencias-pluviales";"https://www.coen.gob.pe/alertas/huancayo"],["lluvia en Huancayo";"protocolo de refugio";"precaución en espacios públicos"]
rutas_evacuacion,"¿Cuáles son las rutas seguras si hay huaico en la Av. Nicolás de Piérola?",["https://www.defensacivil.gob.pe/zonas-evacuacion-lima";"https://www.gob.pe/indeci/huaycos"],["rutas de evacuación en Lima";"zona de huaico";"avenida Nicolás de Piérola"]
reportar_evento,"Una familia quedó atrapada por el barro en Carapongo. ¿A quién avisamos?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/zonas-afectadas"],["emergencia en Carapongo";"familia atrapada";"huaico en Lurigancho"]
obtener_pronostico,"¿Cómo será el clima hoy en Puerto Maldonado?",["https://www.senamhi.gob.pe/ciudad/puerto-maldonado"],["clima en Puerto Maldonado";"selva sur";"pronóstico diario"]
calidad_del_aire,"Vivo cerca del peaje de Huachipa, ¿el aire aquí es saludable hoy?",["https://www.senamhi.gob.pe/calidad-aire/lima-este";"https://www.minsa.gob.pe/posta-huachipa"],["calidad del aire en Huachipa";"zona urbana contaminada";"revisión respiratoria"]
ayuda,"¿Qué aplicación puedo usar para emergencias en Junín?",["https://www.gob.pe/aplicativos-emergencia";"https://www.indeci.gob.pe/region-junin"],["aplicación de emergencia en Junín";"rescate digital";"notificación rápida"]
refugios_cercanos,"Estoy en un centro poblado de Ayacucho. ¿Dónde hay refugios habilitados?",["https://www.indeci.gob.pe/refugios-ayacucho"],["refugios en Ayacucho";"centros poblados";"prevención en la sierra"]
reportar_evento,"El canal de regadío en Ventanilla está a punto de desbordar.",["https://www.gob.pe/119";"https://www.muniventanilla.gob.pe/alertas"],["desborde en Ventanilla";"canal de regadío";"emergencia hídrica"]
saludo,"Hola, ¿puedes ayudarme con el clima en Trujillo?",[],[]
obtener_pronostico,"¿Harán vientos fuertes en el litoral de Ica hoy?",["https://www.senamhi.gob.pe/alertas/litoral-sur";"https://www.coen.gob.pe/alertas/ica"],["vientos en Ica";"litoral sur";"riesgo costero"]
explicar_tipo_desastre,"¿Qué significa nivel naranja en lluvias intensas para Cajamarca?",["https://www.coen.gob.pe/alertas/cajamarca";"https://www.senamhi.gob.pe/"],["nivel naranja en lluvias";"Cajamarca";"alerta por intensificación"]
recomendar_medidas,"Estoy en el paradero de Puente Nuevo y tiembla. ¿Qué hago?",["https://www.defensacivil.gob.pe/zonas-seguras-lima";"https://www.indeci.gob.pe/sismos"],["zona segura en Puente Nuevo";"protocolo sísmico";"espacio público"]
refugios_cercanos,"¿Dónde queda el refugio temporal más cercano en Villa María del Triunfo?",["https://www.indeci.gob.pe/refugios-lima-sur";"https://www.munivmt.gob.pe/prevencion"],["refugios en VMT";"zona sur de Lima";"prevención ante desastre"]
rutas_evacuacion,"Trabajo en el Mall de Santa Anita. ¿Dónde están las rutas de evacuación?",["https://www.defensacivil.gob.pe/zonas-comerciales";"https://www.gob.pe/indeci/evacuacion-centros-comerciales"],["evacuación comercial";"mall Santa Anita";"salidas de emergencia"]
ayuda,"¿Puedo usar esta plataforma si estoy en Loreto?",["https://www.gob.pe/indeci/region-loreto";"https://www.senamhi.gob.pe/selva"],["cobertura en Loreto";"uso del asistente";"emergencia en selva"]
calidad_del_aire,"Mis hijos estudian en Ate. ¿El aire ahí es seguro esta semana?",["https://www.senamhi.gob.pe/calidad-aire/ate";"https://www.minsa.gob.pe/posta-ate"],["aire en Ate";"riesgo respiratorio escolar";"control ambiental"]
plan_emergencia,"¿Hay campañas de preparación en colegios de Piura?",["https://www.gob.pe/minedu/emergencias-escolares-piura";"https://www.indeci.gob.pe/piura"],["educación preventiva";"simulacro escolar";"región norte"]
reportar_evento,"El puente artesanal en Yarinacocha se cayó por el caudal alto.",["https://www.gob.pe/119";"https://www.munipucallpa.gob.pe/alertas"],["caída de puente";"Yarinacocha";"crecida de río"]
obtener_pronostico,"¿Qué condiciones se esperan hoy en Huarmey para la pesca artesanal?",["https://www.senamhi.gob.pe/maritima/huarmey";"https://www.produce.gob.pe/avisos-pesca"],["clima costero";"pesca artesanal en Huarmey";"pronóstico marítimo"]
alertas_meteorologicas,"¿Se ha emitido alguna alerta por viento en Juliaca?",["https://www.senamhi.gob.pe/alertas/juliaca";"https://www.coen.gob.pe/altiplano"],["viento fuerte";"alerta en Juliaca";"región Puno"]
plan_emergencia,"¿Cómo puedo planificar una evacuación para adultos mayores en San Juan de Lurigancho?",["https://www.gob.pe/indeci/plan-familiar";"https://www.minsa.gob.pe/centros-geriátricos-lima"],["adultos mayores";"evacuación SJL";"plan familiar inclusivo"]
reportar_evento,"He visto un poste eléctrico caído en la Av. Grau de Piura. ¿Dónde reportarlo?",["https://www.osinergmin.gob.pe/reporte";"https://www.gob.pe/119"],["poste caído en Piura";"riesgo eléctrico";"emergencia urbana"]
refugios_cercanos,"¿Hay centros de refugio cercanos al distrito de La Victoria?",["https://www.indeci.gob.pe/refugios-lima";"https://www.munilavictoria.gob.pe/zonas-seguras"],["refugios en La Victoria";"resguardo urbano";"emergencia en Lima centro"]
rutas_evacuacion,"Trabajo en un mercado de Chimbote. ¿Qué rutas de evacuación existen?",["https://www.gob.pe/indeci/evacuacion-comercial";"https://www.munichimbote.gob.pe/zonas-seguras"],["evacuación mercado";"Chimbote";"zonas seguras"]
explicar_tipo_desastre,"¿Qué son las heladas agrícolas y cómo afectan en Apurímac?",["https://www.senamhi.gob.pe/agroclima/apurimac";"https://www.agroperu.gob.pe/noticias/heladas"],["heladas en Apurímac";"riesgo agrícola";"descenso térmico"]
recomendar_medidas,"Estoy acampando en Canta y se anuncian lluvias. ¿Qué precauciones tomar?",["https://www.indeci.gob.pe/turismo-seguro";"https://www.senamhi.gob.pe/alertas-canta"],["lluvias en Canta";"campamento seguro";"precaución climática"]
calidad_del_aire,"¿La calidad del aire en San Isidro es aceptable para correr?",["https://www.senamhi.gob.pe/calidad-aire/lima";"https://www.minsa.gob.pe/aire-salud"],["calidad del aire en San Isidro";"actividad física";"índice AQI"]
simulacro_fecha,"¿Cuándo será el próximo simulacro en los colegios de Loreto?",["https://www.gob.pe/minedu/emergencias";"https://www.indeci.gob.pe/simulacros"],["simulacro escolar en Loreto";"prevención educativa";"fechas oficiales"]
obtener_pronostico,"¿Se esperan tormentas eléctricas esta noche en Madre de Dios?",["https://www.senamhi.gob.pe/alertas/selva-sur"],["tormenta eléctrica";"pronóstico nocturno";"Madre de Dios"]
alertas_meteorologicas,"¿Hay alerta por crecida del río Tumbes?",["https://www.senamhi.gob.pe/hidrologia/rio-tumbes";"https://www.coen.gob.pe"],["alerta fluvial";"crecida del río";"Tumbes"]
plan_emergencia,"¿Qué estrategias recomiendas para familias con bebés en emergencia?",["https://www.gob.pe/indeci/mochila";"https://www.minsa.gob.pe/pediatria"],["bebés en emergencia";"plan familiar";"artículos esenciales"]
reportar_evento,"Vi que se desplomó una pared en el distrito de El Agustino por lluvias.",["https://www.gob.pe/119";"https://www.indeci.gob.pe/reporte-urbano"],["desplome por lluvia";"emergencia urbana";"El Agustino"]
refugios_cercanos,"¿En La Libertad hay zonas destinadas como albergue?",["https://www.indeci.gob.pe/refugios-la-libertad";"https://www.regionlalibertad.gob.pe/defensa-civil"],["refugios La Libertad";"albergues regionales";"prevención]
rutas_evacuacion,"¿Cómo evacuar si estoy en una vivienda de madera en Contamana?",["https://www.indeci.gob.pe/evacuacion-amazonia";"https://www.gob.pe/indeci"],["evacuación selva";"vivienda frágil";"Contamana"]
explicar_tipo_desastre,"¿Qué son los movimientos en masa y cómo se previenen en la sierra?",["https://www.senamhi.gob.pe/alertas-geodin";"https://www.gob.pe/indeci/deslizamientos"],["movimientos en masa";"deslizamiento";"riesgo geodinámico"]
recomendar_medidas,"En el cercado del Callao están anunciando vientos. ¿Cómo me protejo?",["https://www.senamhi.gob.pe/litoral-central";"https://www.indeci.gob.pe"],["vientos fuertes en Callao";"prevención costera";"seguridad doméstica"]
calidad_del_aire,"¿Qué tan saludable está el aire hoy en San Borja?",["https://www.senamhi.gob.pe/calidad-aire/lima";"https://www.minsa.gob.pe/posta-sanborja"],["aire en San Borja";"índice de contaminación";"riesgo respiratorio"]
simulacro_fecha,"¿Se hará simulacro nocturno en el Rímac este mes?",["https://www.indeci.gob.pe/simulacros-rimac";"https://www.gob.pe/indeci"],["simulacro nocturno";"prevención en Rímac";"entrenamiento familiar"]
saludo,"Buenos días, necesito saber si hay viento en Chiclayo.",[],[]
despedida,"Gracias por todo, me ayudaste con los datos de Arequipa.",[],[]
intencion_desconocida,"¿Crees que si me mojo, el pronóstico cambia?",[],[]
lenguaje_inapropiado,"Esto es peor que el tráfico limeño, bot de m****",["https://www.gob.pe/minedu/manual-convivencia"],["crítica destructiva";"lenguaje ofensivo";"comunicación inapropiada"]
ayuda,"¿Cómo solicito ayuda desde zonas sin cobertura como Candungos?",["https://www.gob.pe/indeci/sinconectividad";"https://www.gob.pe/119"],["emergencia sin señal";"alerta en Candungos";"zona aislada"]
obtener_pronostico,"¿El clima en Tarapoto será caluroso mañana?",["https://www.senamhi.gob.pe/ciudad/tarapoto"],["clima en Tarapoto";"calor en la selva";"pronóstico tropical"]
alertas_meteorologicas,"¿Hay alerta por frío extremo en Cerro de Pasco?",["https://www.senamhi.gob.pe/alertas/altiplano";"https://www.coen.gob.pe/pasco"],["frío extremo";"alerta en altura";"Pasco"]
plan_emergencia,"¿Puedo recibir capacitación gratuita en prevención en Cajamarca?",["https://www.indeci.gob.pe/cajamarca-talleres";"https://www.gob.pe/indeci"],["capacitación en emergencia";"prevención local";"educación comunitaria"]
reportar_evento,"Una quebrada comenzó a activarse cerca de Cocachacra. ¿A quién llamo?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/huaycos"],["quebrada activa";"Cocachacra";"reporte urgente"]
refugios_cercanos,"¿Hay albergues preparados en caso de tsunami en Ilo?",["https://www.indeci.gob.pe/refugios-ilo";"https://www.coen.gob.pe/zona-costera"],["refugio ante tsunami";"zona segura en Ilo";"evacuación costera"]
rutas_evacuacion,"¿Qué ruta tomar si evacuo desde Nueva Esperanza, Villa María?",["https://www.defensacivil.gob.pe/zonas-seguras-vmt"],["ruta en VMT";"ruta comunitaria";"evacuación Lima sur"]
explicar_tipo_desastre,"¿Qué efecto tiene el Fenómeno del Niño costero en Lima?",["https://www.senamhi.gob.pe/nino-costero";"https://www.coen.gob.pe/"],["Niño costero en Lima";"lluvias intensas";"impacto urbano"]
obtener_pronostico,"¿Se esperan lluvias intensas en Oxapampa hoy?",["https://www.senamhi.gob.pe/ciudad/oxapampa";"https://www.coen.gob.pe/alertas/pasco"],["lluvias en Oxapampa";"clima selvático";"pronóstico actualizado"]
alertas_meteorologicas,"¿Existe alerta por tormenta eléctrica en Talara?",["https://www.coen.gob.pe/alertas/piura";"https://www.senamhi.gob.pe/ciudad/talara"],["alerta eléctrica en Talara";"descargas atmosféricas";"tormenta costera"]
plan_emergencia,"¿Qué medidas debo considerar en una fiesta patronal durante una alerta?",["https://www.indeci.gob.pe/eventos-masivos";"https://www.coen.gob.pe/alertas"],["evento masivo";"prevención en festividad";"protocolo de emergencia"]
reportar_evento,"Hay filtraciones en una escuela de Cerro Colorado. ¿Dónde reporto?",["https://www.gob.pe/minedu/reporte-escolar";"https://www.gob.pe/119"],["emergencia escolar";"filtración por lluvia";"Cerro Colorado"]
refugios_cercanos,"¿Hay refugios para mujeres con niños en emergencia en Sicuani?",["https://www.indeci.gob.pe/refugios-cusco";"https://www.mimp.gob.pe/centros-proteccion"],["refugio en Sicuani";"atención a madres";"espacio seguro"]
rutas_evacuacion,"¿Cuáles son las vías de evacuación en los alrededores del penal de Lurigancho?",["https://www.indeci.gob.pe/zonas-seguras-ate";"https://www.defensacivil.gob.pe/penales"],["evacuación institucional";"penal Lurigancho";"rutas estratégicas"]
explicar_tipo_desastre,"¿Qué es una vaguada costera y cómo afecta a Lima?",["https://www.senamhi.gob.pe/fenomenos-costeros";"https://www.coen.gob.pe"],["vaguada en Lima";"inestabilidad climática";"costas del Pacífico"]
recomendar_medidas,"Estoy en un departamento alto en Miraflores y se activó una alerta sísmica.",["https://www.indeci.gob.pe/prevencion-sismos-lima";"https://www.gob.pe/indeci"],["alerta sísmica";"evacuación vertical";"zona alta"]
calidad_del_aire,"¿Es seguro hacer actividad física en Pueblo Libre hoy?",["https://www.senamhi.gob.pe/calidad-aire/lima";"https://www.minsa.gob.pe/posta-pueblolibre"],["aire en Pueblo Libre";"actividad física";"índice saludable"]
simulacro_fecha,"¿Se realizará un simulacro en zonas industriales como Ventanilla?",["https://www.gob.pe/indeci/simulacros-industriales";"https://www.regioncallao.gob.pe/defensacivil"],["simulacro industrial";"zona productiva";"Ventanilla"]
obtener_pronostico,"¿Cuál es el pronóstico para el aeropuerto de Pisco?",["https://www.senamhi.gob.pe/aeronautica/pisco";"https://www.corpac.gob.pe"],["clima aeropuerto Pisco";"visibilidad aérea";"vientos"]
alertas_meteorologicas,"¿Hay riesgo de desborde del río Vilcanota?",["https://www.senamhi.gob.pe/hidrologia/vilcanota";"https://www.coen.gob.pe/cusco"],["río Vilcanota";"alerta fluvial";"crecida peligrosa"]
plan_emergencia,"¿Cómo preparar mochilas para niños en edad preescolar?",["https://www.indeci.gob.pe/mochila-ninos";"https://www.gob.pe/indeci"],["mochila infantil";"emergencia preescolar";"protocolos familiares"]
reportar_evento,"La Quebrada Honda en Chaclacayo ha empezado a activarse.",["https://www.gob.pe/119";"https://www.coen.gob.pe/lima-este"],["quebrada Honda";"activación por lluvias";"Chaclacayo"]
refugios_cercanos,"¿Dónde están los puntos de reunión seguros en Pachacútec?",["https://www.regioncallao.gob.pe/zonas-seguras";"https://www.gob.pe/indeci"],["refugios en Pachacútec";"reunión post-evento";"Callao norte"]
rutas_evacuacion,"Vivo en una pendiente de San Juan de Miraflores. ¿Qué ruta debo usar en emergencia?",["https://www.munisjm.gob.pe/prevencion";"https://www.defensacivil.gob.pe/zonas-seguras-lima-sur"],["pendiente SJM";"ruta de escape";"zona vulnerable"]
explicar_tipo_desastre,"¿Qué es el efecto Foehn y cómo influye en la costa norte?",["https://www.senamhi.gob.pe/fenomenos-foehn";"https://www.coen.gob.pe"],["efecto Foehn";"calor seco";"viento descendente"]
recomendar_medidas,"En Pachacámac hay amenaza de deslizamientos. ¿Qué medidas tomar?",["https://www.indeci.gob.pe/deslizamientos-lima";"https://www.gob.pe/indeci"],["deslizamiento en Pachacámac";"alerta geológica";"prevención comunitaria"]
calidad_del_aire,"¿Qué nivel de contaminantes hay en San Martín de Porres?",["https://www.senamhi.gob.pe/calidad-aire/lima-norte";"https://www.minsa.gob.pe/posta-smp"],["contaminación en SMP";"aire urbano";"riesgo respiratorio"]
simulacro_fecha,"¿Participarán centros nocturnos en el simulacro de noviembre?",["https://www.indeci.gob.pe/simulacro-nocturno";"https://www.defensacivil.gob.pe"],["simulacro de noche";"centros recreativos";"prevención urbana"]
ayuda,"¿Puedo registrar a mi familia para alertas por SMS en la selva central?",["https://www.gob.pe/indeci/alertas-sms";"https://www.regionjunin.gob.pe/prevencion"],["alertas por mensaje";"registro familiar";"selva central"]
saludo,"¡Hola! ¿Ya se publicó el boletín meteorológico para Huaraz?",[],[]
despedida,"Listo, gracias por la ayuda con info de Ilave.",[],[]
intencion_desconocida,"¿Si el río me habla, es porque tiene miedo?",[],[]
lenguaje_inapropiado,"Este sistema apesta más que un huaico mal olido",["https://www.gob.pe/minedu/manual-convivencia"],["crítica inapropiada";"expresión ofensiva";"lenguaje negativo"]
obtener_pronostico,"¿Cuál será la humedad relativa en Moyobamba hoy?",["https://www.senamhi.gob.pe/ciudad/moyobamba"],["humedad en Moyobamba";"clima selvático";"pronóstico regional"]
alertas_meteorologicas,"¿Hay aviso por nevada en zonas altas de Junín?",["https://www.coen.gob.pe/alertas/junin";"https://www.senamhi.gob.pe/avisos-junin"],["nevada en Junín";"alerta por nieve";"altoandino"]
plan_emergencia,"¿Qué contiene un kit de emergencia para personas con discapacidad visual?",["https://www.gob.pe/conadisper/guia-emergencias";"https://www.indeci.gob.pe"],["emergencia visual";"kit accesible";"prevención inclusiva"]
reportar_evento,"Se ha formado una laguna repentina en Pampamarca tras la lluvia.",["https://www.gob.pe/119";"https://www.regionapurimac.gob.pe/alerta"],["laguna temporal";"lluvia excesiva";"Pampamarca"]
refugios_cercanos,"¿Qué albergue está disponible cerca al paradero San Carlos en SJL?",["https://www.munisjl.gob.pe/zonas-seguras";"https://www.indeci.gob.pe"],["refugio en San Carlos";"zona crítica SJL";"emergencia distrital"]
rutas_evacuacion,"¿Cómo salgo de las alturas de Independencia si hay sismo?",["https://www.muniindependencia.gob.pe/zonas-seguras";"https://www.indeci.gob.pe"],["zona alta";"Independencia";"evacuación vertical"]
explicar_tipo_desastre,"¿Qué es el rocío nocturno y cómo afecta el tránsito matutino?",["https://www.senamhi.gob.pe/humedad-condensacion"],["rocío matinal";"visibilidad reducida";"riesgo vehicular"]
obtener_pronostico,"¿Cómo estará el clima en Yurimaguas mañana por la tarde?",["https://www.senamhi.gob.pe/ciudad/yurimaguas"],["clima en Yurimaguas";"pronóstico vespertino";"temperatura en la selva"]
alertas_meteorologicas,"¿Existe una alerta por oleajes anómalos en el litoral de Moquegua?",["https://www.senamhi.gob.pe/oleajes/moquegua";"https://www.coen.gob.pe/alertas"],["oleaje en Moquegua";"alerta costera";"fenómeno marino"]
plan_emergencia,"¿Qué hago si hay terremoto mientras trabajo en una estación del Metropolitano?",["https://www.indeci.gob.pe/evacuacion-urbana";"https://www.atu.gob.pe/prevencion"],["evacuación metropolitana";"terremoto en Lima";"protocolo en transporte"]
reportar_evento,"Una baranda de metal cayó tras el sismo en Miraflores. ¿A quién aviso?",["https://www.gob.pe/119";"https://www.miraflores.gob.pe/emergencias"],["accidente por sismo";"estructura caída";"reporte urbano"]
refugios_cercanos,"¿Dónde encuentro un punto de resguardo si me encuentro en el Malecón Grau?",["https://www.callao.gob.pe/zonas-seguras";"https://www.indeci.gob.pe/refugios-callao"],["refugio en Malecón Grau";"zona costera segura";"evacuación urbana"]
rutas_evacuacion,"Estoy alojado en el centro histórico de Cusco. ¿Cómo evacuo ante un sismo?",["https://www.municusco.gob.pe/evacuacion";"https://www.indeci.gob.pe/cusco"],["evacuación turística";"Cusco céntrico";"seguridad en patrimonio"]
explicar_tipo_desastre,"¿Qué significa un ‘pulso convectivo’ y cómo se relaciona con lluvias?",["https://www.senamhi.gob.pe/convectivo";"https://www.coen.gob.pe/fenomenos"],["pulso convectivo";"tormentas localizadas";"lluvias intensas"]
recomendar_medidas,"Estoy en una vivienda de adobe en Churcampa. ¿Qué precauciones tomar?",["https://www.indeci.gob.pe/adobe-seguro";"https://www.regionhuancavelica.gob.pe/prevencion"],["vivienda de adobe";"prevención estructural";"Churcampa"]
calidad_del_aire,"Vivo cerca a una ladrillera en Villa El Salvador. ¿El aire es seguro?",["https://www.senamhi.gob.pe/calidad-aire/lima-sur";"https://www.minsa.gob.pe/posta-ves"],["contaminación industrial";"aire en VES";"partículas PM10"]
simulacro_fecha,"¿Este año habrá simulacro en zonas turísticas de Paracas?",["https://www.indeci.gob.pe/simulacro-paracas";"https://www.regionica.gob.pe/seguridad"],["simulacro en Paracas";"prevención turística";"Ica"]
obtener_pronostico,"¿Qué probabilidad de lluvia hay en Moyobamba durante la noche?",["https://www.senamhi.gob.pe/ciudad/moyobamba"],["lluvia en Moyobamba";"clima nocturno";"precipitación en la selva"]
alertas_meteorologicas,"¿Han activado alerta por granizo en zonas altas de Abancay?",["https://www.senamhi.gob.pe/alertas/apurimac";"https://www.coen.gob.pe/abancay"],["granizo en Abancay";"alerta en altura";"fenómeno climático"]
plan_emergencia,"¿Qué recomendaciones hay para personas con epilepsia en sismos?",["https://www.minsa.gob.pe/epilepsia";"https://www.indeci.gob.pe/poblacion-vulnerable"],["epilepsia y sismo";"plan especial";"persona vulnerable"]
reportar_evento,"Se desbordó la acequia de regadío en Ate por la madrugada.",["https://www.ate.gob.pe/emergencias";"https://www.indeci.gob.pe/contacto"],["desborde de acequia";"regadío urbano";"riesgo hidráulico"]
refugios_cercanos,"Estoy en San Bartolo por vacaciones. ¿Dónde puedo refugiarme si tiembla?",["https://www.munisanbartolo.gob.pe/refugios";"https://www.indeci.gob.pe/zonas-seguras-playa"],["refugio en San Bartolo";"zona costera";"turismo en emergencia"]
rutas_evacuacion,"¿Qué ruta debo tomar si hay alerta de tsunami en Zorritos?",["https://www.tumbes.gob.pe/tsunami";"https://www.indeci.gob.pe/litoral"],["evacuación por tsunami";"Zorritos";"alerta costera"]
explicar_tipo_desastre,"¿Qué son las cizalladuras de viento y afectan la aviación?",["https://www.senamhi.gob.pe/aeronautica";"https://www.corpac.gob.pe/meteorologia"],["cizalladura";"aviación y clima";"viento vertical"]
recomendar_medidas,"Tengo un restaurante en Barranco. ¿Cómo proteger a mis clientes si hay sismo?",["https://www.indeci.gob.pe/negocios-seguros";"https://www.barranco.gob.pe/prevencion"],["restaurante en emergencia";"atención a clientes";"sismo en Lima"]
calidad_del_aire,"¿Cuál es el nivel de ozono en el aire en Los Olivos esta semana?",["https://www.senamhi.gob.pe/calidad-aire/lima-norte";"https://www.minsa.gob.pe/oxigeno"],["nivel de ozono";"Los Olivos";"salud pública"]
simulacro_fecha,"¿Participarán universidades privadas en el próximo simulacro nacional?",["https://www.indeci.gob.pe/simulacros-educacion-superior";"https://www.sunedu.gob.pe/prevencion"],["simulacro universitario";"prevención educativa";"protocolos en campus"]
obtener_pronostico,"¿La humedad será alta en Tacna este fin de semana?",["https://www.senamhi.gob.pe/ciudad/tacna"],["humedad en Tacna";"zona sur";"clima costero"]
alertas_meteorologicas,"¿Se prevé niebla densa en la zona de La Molina en la madrugada?",["https://www.senamhi.gob.pe/lima-este";"https://www.coen.gob.pe/lima"],["niebla en La Molina";"alerta matinal";"visibilidad reducida"]
plan_emergencia,"¿Cómo elaboro un plan de emergencia si soy inquilino en un cuarto alquilado?",["https://www.indeci.gob.pe/plan-individual";"https://www.gob.pe/indeci"],["plan personal";"inquilinos";"autoprotección"]
reportar_evento,"Un árbol se cayó en la plaza de armas de Cajamarca tras una ráfaga.",["https://www.cajamarca.gob.pe/defensa-civil";"https://www.gob.pe/119"],["caída de árbol";"viento en Cajamarca";"reporte ciudadano"]
refugios_cercanos,"¿Existe un centro de resguardo en Pachitea ante desastres?",["https://www.regionhuanuco.gob.pe/defensa-civil";"https://www.indeci.gob.pe/refugios"],["albergue en Pachitea";"zona de emergencia";"evacuación rural"]
rutas_evacuacion,"¿Qué ruta debo usar para evacuar desde Huaycán si hay sismo fuerte?",["https://www.ate.gob.pe/evacuacion-huaycan";"https://www.indeci.gob.pe/zonas-lima-este"],["ruta Huaycán";"plan sísmico";"evacuación comunitaria"]
explicar_tipo_desastre,"¿Qué es una tromba marina y puede afectar a Pimentel?",["https://www.senamhi.gob.pe/eventos-marinos";"https://www.coen.gob.pe/lambayeque"],["tromba marina";"fenómeno en Pimentel";"riesgo costero"]
recomendar_medidas,"Estoy en el festival de Cajabamba. ¿Qué hago si hay sismo con mucha gente?",["https://www.indeci.gob.pe/eventos-masivos";"https://www.regioncajamarca.gob.pe/defensa-civil"],["evacuación en multitudes";"festival seguro";"Cajabamba"]
calidad_del_aire,"¿Hay partículas contaminantes elevadas en Comas esta mañana?",["https://www.senamhi.gob.pe/lima-norte";"https://www.minsa.gob.pe/posta-comas"],["contaminación matinal";"aire en Comas";"PM2.5"]
simulacro_fecha,"¿Habrá simulacro durante la Semana Santa en Ayacucho?",["https://www.indeci.gob.pe/simulacro-ayacucho";"https://www.regionayacucho.gob.pe/prevencion"],["simulacro en festividad";"prevención turística";"Ayacucho"]
obtener_pronostico,"¿Cuál será la temperatura en Andahuaylas mañana temprano?",["https://www.senamhi.gob.pe/ciudad/andahuaylas"],["pronóstico matinal";"temperatura en Andahuaylas";"clima en Apurímac"]
alertas_meteorologicas,"¿Existe algún aviso por granizo en Tarma?",["https://www.senamhi.gob.pe/avisos/junin";"https://www.coen.gob.pe/junin"],["granizo en Tarma";"alerta climatológica";"precaución sierra central"]
plan_emergencia,"¿Qué elementos debo incluir si vivo con adultos mayores en Huacho?",["https://www.minsa.gob.pe/adultosmayores";"https://www.indeci.gob.pe/plan-familiar"],["familias con adultos mayores";"plan de emergencia";"prevención en Huacho"]
reportar_evento,"El cerro en Laderas de Chillón muestra grietas. ¿Dónde puedo notificar?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/lima-norte"],["grietas en cerro";"riesgo geológico";"Laderas de Chillón"]
refugios_cercanos,"¿Hay alguna zona de refugio en Puerto Inca?",["https://www.regionhuanuco.gob.pe/refugios";"https://www.indeci.gob.pe"],["zona segura";"Puerto Inca";"refugio distrital"]
rutas_evacuacion,"¿Cuáles son las rutas para evacuar desde la Universidad Nacional de Trujillo?",["https://www.unitru.edu.pe/prevencion";"https://www.indeci.gob.pe/evacuacion-educativa"],["evacuación universitaria";"UNT";"protocolos en campus"]
explicar_tipo_desastre,"¿Qué es un embolsamiento hídrico y cómo prevenirlo?",["https://www.senamhi.gob.pe/glosario";"https://www.indeci.gob.pe/hidrologia"],["embalsamiento";"inundaciones";"riesgo por acumulación"]
recomendar_medidas,"Si mi zona está cerca al cauce de la quebrada Patarcocha, ¿qué debo hacer?",["https://www.gob.pe/indeci/zonas-de-riesgo";"https://www.regionhuanuco.gob.pe/prevencion"],["quebrada Patarcocha";"río activo";"prevención ribereña"]
