levelCode,levelName,description,regiones_afectadas,enlaces,frase,prompt
4,extrema,"Se reporta friaje en la zona de Madre de Dios, Ucayali, Puno. Esto podría causar descenso brusco de temperatura, enfermedades respiratorias. Se recomienda tomar precauciones.","Madre de Dios, Ucayali, Puno","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de madre de dios, ucayali, puno. esto podría causar descenso brusco de temperatura, enfermedades respiratorias. se recomienda tomar precauciones."
3,fuerte,"Se reporta torbellinos en la zona de Tumbes, Piura. Esto podría causar daños materiales, afectación a cultivos. Se recomienda tomar precauciones.","Tumbes, Piura","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de tumbes, piura. esto podría causar daños materiales, afectación a cultivos. se recomienda tomar precauciones."
1,sin peligro,"Se reporta heladas en la zona de Sierra sur. Esto podría causar daños al ganado, problemas respiratorios, afectación a cultivos. Se recomienda tomar precauciones.",Sierra sur,['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo enfrentar las heladas,"Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra sur. esto podría causar daños al ganado, problemas respiratorios, afectación a cultivos. se recomienda tomar precauciones."
3,fuerte,"Se reporta nevadas en la zona de Sierra sur, zonas altoandinas. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.","Sierra sur, zonas altoandinas",['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur, zonas altoandinas. esto podría causar afectación a cultivos. se recomienda tomar precauciones."
2,moderada,"Se reporta lluvias intensas en la zona de Sierra, Selva, Costa norte. Esto podría causar deslizamientos, huaicos, aumento del caudal de ríos, inundaciones. Se recomienda tomar precauciones.","Sierra, Selva, Costa norte",['https://www.indeci.gob.pe/alertas'],cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra, selva, costa norte. esto podría causar deslizamientos, huaicos, aumento del caudal de ríos, inundaciones. se recomienda tomar precauciones."
3,fuerte,"Se reporta oleajes anómalos en la zona de Costa central, Costa norte. Esto podría causar daños a infraestructuras costeras. Se recomienda tomar precauciones.","Costa central, Costa norte","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa central, costa norte. esto podría causar daños a infraestructuras costeras. se recomienda tomar precauciones."
2,moderada,"Se reporta vientos fuertes en la zona de zonas costeras. Esto podría causar caída de árboles, levantamiento de polvo, daños en techos. Se recomienda tomar precauciones.",zonas costeras,"['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas costeras. esto podría causar caída de árboles, levantamiento de polvo, daños en techos. se recomienda tomar precauciones."
3,fuerte,Se reporta heladas en la zona de Sierra sur. Esto podría causar problemas respiratorios. Se recomienda tomar precauciones.,Sierra sur,"['https://www.indeci.gob.pe/alertas', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo enfrentar las heladas,Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra sur. esto podría causar problemas respiratorios. se recomienda tomar precauciones.
1,sin peligro,"Se reporta torbellinos en la zona de Piura, Tumbes. Esto podría causar daños materiales. Se recomienda tomar precauciones.","Piura, Tumbes",['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura, tumbes. esto podría causar daños materiales. se recomienda tomar precauciones."
2,moderada,"Se reporta lluvias intensas en la zona de Costa norte, Selva, Sierra. Esto podría causar huaicos, inundaciones, aumento del caudal de ríos. Se recomienda tomar precauciones.","Costa norte, Selva, Sierra","['https://www.indeci.gob.pe/alertas', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de costa norte, selva, sierra. esto podría causar huaicos, inundaciones, aumento del caudal de ríos. se recomienda tomar precauciones."
2,moderada,"Se reporta vientos fuertes en la zona de Altiplano, zonas andinas. Esto podría causar levantamiento de polvo. Se recomienda tomar precauciones.","Altiplano, zonas andinas","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de altiplano, zonas andinas. esto podría causar levantamiento de polvo. se recomienda tomar precauciones."
3,fuerte,"Se reporta ola de calor en la zona de Selva. Esto podría causar afectaciones a la salud, sobrecarga energética. Se recomienda tomar precauciones.",Selva,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva. esto podría causar afectaciones a la salud, sobrecarga energética. se recomienda tomar precauciones."
4,extrema,Se reporta tormentas eléctricas en la zona de Selva. Esto podría causar daños eléctricos. Se recomienda tomar precauciones.,Selva,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",cómo actuar ante tormentas eléctricas,Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de selva. esto podría causar daños eléctricos. se recomienda tomar precauciones.
3,fuerte,"Se reporta ola de calor en la zona de Costa norte, Selva. Esto podría causar sobrecarga energética, afectaciones a la salud. Se recomienda tomar precauciones.","Costa norte, Selva",['https://www.gob.pe/temas/gestion-del-riesgo'],cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de costa norte, selva. esto podría causar sobrecarga energética, afectaciones a la salud. se recomienda tomar precauciones."
1,sin peligro,Se reporta ola de calor en la zona de Selva. Esto podría causar sobrecarga energética. Se recomienda tomar precauciones.,Selva,"['https://www.indeci.gob.pe/alertas', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo cuidarse en una ola de calor,Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva. esto podría causar sobrecarga energética. se recomienda tomar precauciones.
1,sin peligro,Se reporta nevadas en la zona de Sierra sur. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.,Sierra sur,['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur. esto podría causar afectación a cultivos. se recomienda tomar precauciones.
2,moderada,"Se reporta friaje en la zona de Puno, Madre de Dios, Ucayali. Esto podría causar enfermedades respiratorias, descenso brusco de temperatura. Se recomienda tomar precauciones.","Puno, Madre de Dios, Ucayali",['https://www.senamhi.gob.pe/Lima/vientos'],cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de puno, madre de dios, ucayali. esto podría causar enfermedades respiratorias, descenso brusco de temperatura. se recomienda tomar precauciones."
1,sin peligro,"Se reporta tormentas eléctricas en la zona de Selva, Sierra oriental. Esto podría causar daños eléctricos. Se recomienda tomar precauciones.","Selva, Sierra oriental",['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo actuar ante tormentas eléctricas,"Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de selva, sierra oriental. esto podría causar daños eléctricos. se recomienda tomar precauciones."
2,moderada,"Se reporta heladas en la zona de Sierra sur. Esto podría causar afectación a cultivos, daños al ganado. Se recomienda tomar precauciones.",Sierra sur,['https://www.gob.pe/temas/gestion-del-riesgo'],cómo enfrentar las heladas,"Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra sur. esto podría causar afectación a cultivos, daños al ganado. se recomienda tomar precauciones."
2,moderada,"Se reporta torbellinos en la zona de Tumbes, Piura. Esto podría causar daños materiales, afectación a cultivos. Se recomienda tomar precauciones.","Tumbes, Piura",['https://www.essalud.gob.pe/heladas/recomendaciones'],qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de tumbes, piura. esto podría causar daños materiales, afectación a cultivos. se recomienda tomar precauciones."
2,moderada,Se reporta friaje en la zona de Madre de Dios. Esto podría causar descenso brusco de temperatura. Se recomienda tomar precauciones.,Madre de Dios,['https://www.essalud.gob.pe/heladas/recomendaciones'],cuidados durante el friaje,Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de madre de dios. esto podría causar descenso brusco de temperatura. se recomienda tomar precauciones.
3,fuerte,"Se reporta incendios forestales en la zona de Selva, zonas agrícolas, Sierra sur. Esto podría causar emisiones de gases. Se recomienda tomar precauciones.","Selva, zonas agrícolas, Sierra sur",['https://www.senamhi.gob.pe/Lima/vientos'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de selva, zonas agrícolas, sierra sur. esto podría causar emisiones de gases. se recomienda tomar precauciones."
1,sin peligro,"Se reporta lluvias intensas en la zona de Sierra, Costa norte, Selva. Esto podría causar huaicos, inundaciones, aumento del caudal de ríos. Se recomienda tomar precauciones.","Sierra, Costa norte, Selva",['https://www.senamhi.gob.pe/Lima/vientos'],cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra, costa norte, selva. esto podría causar huaicos, inundaciones, aumento del caudal de ríos. se recomienda tomar precauciones."
4,extrema,"Se reporta ola de calor en la zona de Costa norte. Esto podría causar afectaciones a la salud, sobrecarga energética. Se recomienda tomar precauciones.",Costa norte,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de costa norte. esto podría causar afectaciones a la salud, sobrecarga energética. se recomienda tomar precauciones."
2,moderada,Se reporta heladas en la zona de Sierra central. Esto podría causar problemas respiratorios. Se recomienda tomar precauciones.,Sierra central,['https://www.indeci.gob.pe/alertas'],cómo enfrentar las heladas,Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra central. esto podría causar problemas respiratorios. se recomienda tomar precauciones.
2,moderada,Se reporta incendios forestales en la zona de Sierra sur. Esto podría causar daño ambiental. Se recomienda tomar precauciones.,Sierra sur,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",prevención de incendios forestales,Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de sierra sur. esto podría causar daño ambiental. se recomienda tomar precauciones.
2,moderada,"Se reporta friaje en la zona de Ucayali, Puno. Esto podría causar descenso brusco de temperatura, enfermedades respiratorias. Se recomienda tomar precauciones.","Ucayali, Puno","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.senamhi.gob.pe/Lima/vientos']",cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de ucayali, puno. esto podría causar descenso brusco de temperatura, enfermedades respiratorias. se recomienda tomar precauciones."
2,moderada,"Se reporta ola de calor en la zona de Costa norte. Esto podría causar afectaciones a la salud, sobrecarga energética. Se recomienda tomar precauciones.",Costa norte,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.senamhi.gob.pe/Lima/vientos']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de costa norte. esto podría causar afectaciones a la salud, sobrecarga energética. se recomienda tomar precauciones."
4,extrema,Se reporta incendios forestales en la zona de Selva. Esto podría causar daño ambiental. Se recomienda tomar precauciones.,Selva,"['https://www.indeci.gob.pe/alertas', 'https://www.essalud.gob.pe/heladas/recomendaciones']",prevención de incendios forestales,Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de selva. esto podría causar daño ambiental. se recomienda tomar precauciones.
4,extrema,"Se reporta friaje en la zona de Ucayali, Madre de Dios. Esto podría causar descenso brusco de temperatura, enfermedades respiratorias. Se recomienda tomar precauciones.","Ucayali, Madre de Dios",['https://www.senamhi.gob.pe/Lima/vientos'],cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de ucayali, madre de dios. esto podría causar descenso brusco de temperatura, enfermedades respiratorias. se recomienda tomar precauciones."
1,sin peligro,"Se reporta vientos fuertes en la zona de zonas costeras, Altiplano, zonas andinas. Esto podría causar caída de árboles, levantamiento de polvo, daños en techos. Se recomienda tomar precauciones.","zonas costeras, Altiplano, zonas andinas","['https://www.indeci.gob.pe/alertas', 'https://www.gob.pe/temas/gestion-del-riesgo']",prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas costeras, altiplano, zonas andinas. esto podría causar caída de árboles, levantamiento de polvo, daños en techos. se recomienda tomar precauciones."
3,fuerte,Se reporta ola de calor en la zona de Selva. Esto podría causar afectaciones a la salud. Se recomienda tomar precauciones.,Selva,['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo cuidarse en una ola de calor,Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva. esto podría causar afectaciones a la salud. se recomienda tomar precauciones.
4,extrema,"Se reporta lluvias intensas en la zona de Sierra, Selva. Esto podría causar huaicos. Se recomienda tomar precauciones.","Sierra, Selva","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra, selva. esto podría causar huaicos. se recomienda tomar precauciones."
2,moderada,"Se reporta oleajes anómalos en la zona de Costa central, Costa norte, Costa sur. Esto podría causar erosión de playas. Se recomienda tomar precauciones.","Costa central, Costa norte, Costa sur",['https://www.senamhi.gob.pe/Lima/vientos'],alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa central, costa norte, costa sur. esto podría causar erosión de playas. se recomienda tomar precauciones."
3,fuerte,"Se reporta torbellinos en la zona de Piura. Esto podría causar daños materiales, afectación a cultivos. Se recomienda tomar precauciones.",Piura,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura. esto podría causar daños materiales, afectación a cultivos. se recomienda tomar precauciones."
3,fuerte,"Se reporta lluvias intensas en la zona de Sierra, Costa norte, Selva. Esto podría causar huaicos. Se recomienda tomar precauciones.","Sierra, Costa norte, Selva","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.indeci.gob.pe/alertas']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra, costa norte, selva. esto podría causar huaicos. se recomienda tomar precauciones."
1,sin peligro,"Se reporta ola de calor en la zona de Costa norte. Esto podría causar afectaciones a la salud, sobrecarga energética. Se recomienda tomar precauciones.",Costa norte,['https://www.gob.pe/temas/gestion-del-riesgo'],cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de costa norte. esto podría causar afectaciones a la salud, sobrecarga energética. se recomienda tomar precauciones."
3,fuerte,"Se reporta ola de calor en la zona de Selva, Costa norte. Esto podría causar sobrecarga energética, afectaciones a la salud. Se recomienda tomar precauciones.","Selva, Costa norte","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva, costa norte. esto podría causar sobrecarga energética, afectaciones a la salud. se recomienda tomar precauciones."
